id;url;title;date_modified
74-20074137;https://yle.fi/a/74-20074137;Vaali oli Lapille harvinaisen tärkeä –  lappilaisten pitää nyt ottaa Stubb haltuun, patistaa politiikan tutkija;12.2.2024 12:16
74-20074167;https://yle.fi/a/74-20074167;Kuka on Alexander Stubb? näin vastaavat ruotsalaiset;12.2.2024 14:02
74-20074159;https://yle.fi/a/74-20074159;Brittiasiantuntija: Britannia haluaa Suomen sallivan ydinaseet;12.2.2024 14:50
74-20074177;https://yle.fi/a/74-20074177;Tutkija: Trumpin uhittelu ”pitäisi ottaa äärimmäisen vakavasti” – Trump ei halua Yhdysvalloille suurta roolia Euroopassa;12.2.2024 15:27
74-20074158;https://yle.fi/a/74-20074158;Analyysi: Tuleva presidentti Stubb lähetti viestin Yhdysvaltain tulevalle presidentille;12.2.2024 17:20
74-20074246;https://yle.fi/a/74-20074246;Häkkänen patistaa muita Nato-maita nostamaan puolustusmenoja;12.2.2024 22:20
74-20074221;https://yle.fi/a/74-20074221;”Minä Alexander Stubb, jonka Suomen kansa on valinnut...” – näin uusi presidentti nousee valtaan;13.2.2024 13:06
74-20074343;https://yle.fi/a/74-20074343;Kainuun tuore maakuntajohtaja pelkää, että heikko äänestysprosentti voi osua Kainuun omaan nilkkaan;13.2.2024 14:58
74-20074492;https://yle.fi/a/74-20074492;Biden tyrmäsi Trumpin Nato-puheet ”tyhminä ja häpeällisinä”;13.2.2024 23:31
74-20074584;https://yle.fi/a/74-20074584;Video näyttää hetken, joka Ukrainan mukaan todistaa iskun venäläisalukseen Mustallamerellä;14.2.2024 12:51
74-20074589;https://yle.fi/a/74-20074589;Stoltenberg: 18 maata yltää tänä vuonna puolustusmenoissa Naton kahden prosentin tavoitteeseen;14.2.2024 14:59
74-20074673;https://yle.fi/a/74-20074673;Billström Ylelle: Ruotsin hallitus taipumassa Orbánin vaatimaan Budapestin matkaan;14.2.2024 18:57
74-20074392;https://yle.fi/a/74-20074392;Sodankylän kunnanjohtaja: ”Nato-sotilaat ostivat jo kaupan tyhjäksi kalastustarvikkeista, ja se on tosi hyvä juttu”;14.2.2024 20:14
74-20074734;https://yle.fi/a/74-20074734;Antti Kurvinen harkitsee vakavasti keskustan puheenjohtajakisaa, Antti Kaikkonen tekee päätöksen kevään aikana;15.2.2024 9:53
74-20074765;https://yle.fi/a/74-20074765;Ranska nostaa puolustusmenonsa tänä vuonna Naton vaatimalle tasolle;15.2.2024 11:25
74-20074751;https://yle.fi/a/74-20074751;Viekö Venäjä ydinaseita avaruuteen? Lue, mistä Yhdysvaltain hallintoa kuohuttaneessa asiassa on kyse;15.2.2024 12:56
74-20074840;https://yle.fi/a/74-20074840;Häkkänen: Trumpin puheisiin suhtaudutaan nyt ”ihan eri tavalla” kuin aiemmin  – Trumpin uhkaus häilyi Nato-kokouksen yllä;15.2.2024 16:11
74-20074904;https://yle.fi/a/74-20074904;Trumpin lähipiiri suunnittelee: Naton artikla 5 pätisi vain osaan jäsenmaista;15.2.2024 21:24
74-20074877;https://yle.fi/a/74-20074877;Alexander Stubb astuu tulevana presidenttinä ensimmäistä kertaa kansainväliselle näyttämölle Münchenissä tänään;16.2.2024 5:20
74-20074927;https://yle.fi/a/74-20074927;Yhdysvallat varoittaa: Avdijivka luisumassa Venäjän hallintaan;16.2.2024 8:43
74-20074327;https://yle.fi/a/74-20074327;Donald Trump horjuttaa nyt lähes päivittäin Naton puolustuksen kulmakiveä, jota ei ole koskaan testattu tosipaikassa;16.2.2024 10:10
74-20075020;https://yle.fi/a/74-20075020;Tämä tiedetään venäläisen oppositiojohtaja Aleksei Navalnyin kuolemasta;16.2.2024 13:30
74-20075104;https://yle.fi/a/74-20075104;Orpo tapasi Puolan Tuskin Varsovassa – Euroopan oltava valmis pahimpiin skenaarioihin, sanoi Tusk;16.2.2024 21:31
74-20075108;https://yle.fi/a/74-20075108;Työmarkkinat ovat jatkuvassa konfliktissa, eikä loppua näy, uskoo työmarkkinoihin erikoistunut toimittaja;17.2.2024 9:47
74-20074856;https://yle.fi/a/74-20074856;Kansallismuseo tuli kylään: Torniossa voi nyt nähdä Kekkosen silmälasit tai Suomen tunnetuimman poliittisen maalauksen;17.2.2024 11:17
